,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,legendary_sum
10,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20,3840,71,205,120,Cocoon PokÃ©mon,55,1000000,0.7,50,Transelãƒˆãƒ©ãƒ³ã‚»ãƒ«,Metapod,50.0,11,25,25,30,bug,,9.9,1,0,0.28258327686638596
11,"['Compoundeyes', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45,3840,71,395,45,Butterfly PokÃ©mon,50,1000000,1.1,60,Butterfreeãƒã‚¿ãƒ•ãƒªãƒ¼,Butterfree,50.0,12,90,80,70,bug,flying,32.0,1,0,0.28258327686638596
12,"['Shield Dust', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35,3840,71,195,255,Hairy PokÃ©mon,30,1000000,0.3,40,Beedleãƒ“ãƒ¼ãƒ‰ãƒ«,Weedle,50.0,13,20,20,50,bug,poison,3.2,1,0,0.28258327686638596
13,['Shed Skin'],0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25,3840,71,205,120,Cocoon PokÃ©mon,50,1000000,0.6,45,Cocoonã‚³ã‚¯ãƒ¼ãƒ³,Kakuna,50.0,14,25,25,35,bug,poison,10.0,1,0,0.28258327686638596
14,"['Swarm', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150,3840,71,495,45,Poison Bee PokÃ©mon,40,1000000,1.0,65,Spearã‚¹ãƒ”ã‚¢ãƒ¼,Beedrill,50.0,15,15,80,145,bug,poison,29.5,1,0,0.28258327686638596
15,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45,3840,71,251,255,Tiny Bird PokÃ©mon,40,1059860,0.3,40,Poppoãƒãƒƒãƒ,Pidgey,50.0,16,35,35,56,normal,flying,1.8,1,0,0.28258327686638596
16,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,71,349,120,Bird PokÃ©mon,55,1059860,1.1,63,Pigeonãƒ”ã‚¸ãƒ§ãƒ³,Pidgeotto,50.0,17,50,50,71,normal,flying,30.0,1,0,0.28258327686638596
17,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80,3840,71,579,45,Bird PokÃ©mon,80,1059860,1.5,83,Pigeotãƒ”ã‚¸ãƒ§ãƒƒãƒˆ,Pidgeot,50.0,18,135,80,121,normal,flying,39.5,1,0,0.28258327686638596
18,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,3840,71,253,255,Mouse PokÃ©mon,35,1000000,,30,Korattaã‚³ãƒ©ãƒƒã‚¿,Rattata,50.0,19,25,35,72,normal,dark,,1,0,0.28258327686638596
19,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,3840,71,413,127,Mouse PokÃ©mon,70,1000000,,75,Rattaãƒ©ãƒƒã‚¿,Raticate,50.0,20,40,80,77,normal,dark,,1,0,0.28258327686638596
20,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,71,262,255,Tiny Bird PokÃ©mon,30,1000000,0.3,40,Onisuzumeã‚ªãƒ‹ã‚¹ã‚ºãƒ¡,Spearow,50.0,21,31,31,70,normal,flying,2.0,1,0,0.28258327686638596
21,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,3840,71,442,90,Beak PokÃ©mon,65,1000000,1.2,65,Onidrillã‚ªãƒ‹ãƒ‰ãƒªãƒ«,Fearow,50.0,22,61,61,100,normal,flying,38.0,1,0,0.28258327686638596
22,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,5120,71,288,255,Snake PokÃ©mon,44,1000000,2.0,35,Arboã‚¢ãƒ¼ãƒœ,Ekans,50.0,23,40,54,55,poison,,6.9,1,0,0.28258327686638596
23,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,5120,71,448,90,Cobra PokÃ©mon,69,1000000,3.5,60,Arbokã‚¢ãƒ¼ãƒœãƒƒã‚¯,Arbok,50.0,24,65,79,80,poison,,65.0,1,0,0.28258327686638596
24,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,2560,71,320,190,Mouse PokÃ©mon,40,1000000,0.4,35,Pikachuãƒ”ã‚«ãƒãƒ¥ã‚¦,Pikachu,50.0,25,50,50,90,electric,,6.0,1,0,0.28258327686638596
25,"['Static', 'Lightningrod', 'Surge Surfer']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,2560,71,485,75,Mouse PokÃ©mon,50,1000000,,60,Raichuãƒ©ã‚¤ãƒãƒ¥ã‚¦,Raichu,50.0,26,95,85,110,electric,electric,,1,0,0.28258327686638596
26,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,5120,71,300,255,Mouse PokÃ©mon,90,1000000,,50,Sandã‚µãƒ³ãƒ‰,Sandshrew,50.0,27,10,35,40,ground,ice,,1,0,0.28258327686638596
27,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,71,450,90,Mouse PokÃ©mon,120,1000000,,75,Sandpanã‚µãƒ³ãƒ‰ãƒ‘ãƒ³,Sandslash,50.0,28,25,65,65,ground,ice,,1,0,0.28258327686638596
28,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,5120,71,275,235,Poison Pin PokÃ©mon,52,1059860,0.4,55,Nidoran?ãƒ‹ãƒ‰ãƒ©ãƒ³â™€,Nidoranâ™€,0.0,29,40,40,41,poison,,7.0,1,0,0.28258327686638596
29,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,5120,71,365,120,Poison Pin PokÃ©mon,67,1059860,0.8,70,Nidorinaãƒ‹ãƒ‰ãƒªãƒ¼ãƒŠ,Nidorina,0.0,30,55,55,56,poison,,20.0,1,0,0.28258327686638596
30,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,5120,71,505,45,Drill PokÃ©mon,87,1059860,1.3,90,Nidoqueenãƒ‹ãƒ‰ã‚¯ã‚¤ãƒ³,Nidoqueen,0.0,31,75,85,76,poison,ground,60.0,1,0,0.28258327686638596
31,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,5120,71,273,235,Poison Pin PokÃ©mon,40,1059860,0.5,46,Nidoran?ãƒ‹ãƒ‰ãƒ©ãƒ³â™‚,Nidoranâ™‚,100.0,32,40,40,50,poison,,9.0,1,0,0.28258327686638596
32,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,5120,71,365,120,Poison Pin PokÃ©mon,57,1059860,0.9,61,Nidorinoãƒ‹ãƒ‰ãƒªãƒ¼ãƒŽ,Nidorino,100.0,33,55,55,65,poison,,19.5,1,0,0.28258327686638596
33,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,5120,71,505,45,Drill PokÃ©mon,77,1059860,1.4,81,Nidokingãƒ‹ãƒ‰ã‚­ãƒ³ã‚°,Nidoking,100.0,34,85,75,85,poison,ground,62.0,1,0,0.28258327686638596
34,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,141,323,150,Fairy PokÃ©mon,48,800000,0.6,70,Pippiãƒ”ãƒƒãƒ”,Clefairy,24.6,35,60,65,35,fairy,,7.5,1,0,0.28258327686638596
35,"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,141,483,25,Fairy PokÃ©mon,73,800000,1.3,95,Pixyãƒ”ã‚¯ã‚·ãƒ¼,Clefable,24.6,36,95,90,60,fairy,,40.0,1,0,0.28258327686638596
36,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,5120,71,299,190,Fox PokÃ©mon,40,1000000,,38,Rokonãƒ­ã‚³ãƒ³,Vulpix,24.6,37,50,65,65,fire,ice,,1,0,0.28258327686638596
37,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,5120,71,505,75,Fox PokÃ©mon,75,1000000,,73,Kyukonã‚­ãƒ¥ã‚¦ã‚³ãƒ³,Ninetales,24.6,38,81,100,109,fire,ice,,1,0,0.28258327686638596
38,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,71,270,170,Balloon PokÃ©mon,20,800000,0.5,115,Purinãƒ—ãƒªãƒ³,Jigglypuff,24.6,39,45,25,20,normal,fairy,5.5,1,0,0.28258327686638596
39,"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,71,435,50,Balloon PokÃ©mon,45,800000,1.0,140,Pukurinãƒ—ã‚¯ãƒªãƒ³,Wigglytuff,24.6,40,85,50,45,normal,fairy,12.0,1,0,0.28258327686638596
40,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45,3840,71,245,255,Bat PokÃ©mon,35,1000000,0.8,40,Zubatã‚ºãƒãƒƒãƒˆ,Zubat,50.0,41,30,40,55,poison,flying,7.5,1,0,0.28258327686638596
41,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80,3840,71,455,90,Bat PokÃ©mon,70,1000000,1.6,75,Golbatã‚´ãƒ«ãƒãƒƒãƒˆ,Golbat,50.0,42,65,75,90,poison,flying,55.0,1,0,0.28258327686638596
42,"['Chlorophyll', 'Run Away']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50,5120,71,320,255,Weed PokÃ©mon,55,1059860,0.5,45,NazonokusaãƒŠã‚¾ãƒŽã‚¯ã‚µ,Oddish,50.0,43,75,65,30,grass,poison,5.4,1,0,0.28258327686638596
43,"['Chlorophyll', 'Stench']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65,5120,71,395,120,Weed PokÃ©mon,70,1059860,0.8,60,Kusaihanaã‚¯ã‚µã‚¤ãƒãƒŠ,Gloom,50.0,44,85,75,40,grass,poison,8.6,1,0,0.28258327686638596
44,"['Chlorophyll', 'Effect Spore']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,5120,71,490,45,Flower PokÃ©mon,85,1059860,1.2,75,Ruffresiaãƒ©ãƒ•ãƒ¬ã‚·ã‚¢,Vileplume,50.0,45,110,90,50,grass,poison,18.6,1,0,0.28258327686638596
45,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,5120,71,285,190,Mushroom PokÃ©mon,55,1000000,0.3,35,Parasãƒ‘ãƒ©ã‚¹,Paras,50.0,46,45,55,25,bug,grass,5.4,1,0,0.28258327686638596
46,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95,5120,71,405,75,Mushroom PokÃ©mon,80,1000000,1.0,60,Parasectãƒ‘ãƒ©ã‚»ã‚¯ãƒˆ,Parasect,50.0,47,60,80,30,bug,grass,29.5,1,0,0.28258327686638596
47,"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55,5120,71,305,190,Insect PokÃ©mon,50,1000000,1.0,60,Kongpangã‚³ãƒ³ãƒ‘ãƒ³,Venonat,50.0,48,40,55,45,bug,poison,30.0,1,0,0.28258327686638596
48,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65,5120,71,450,75,Poison Moth PokÃ©mon,60,1000000,1.5,70,Morphonãƒ¢ãƒ«ãƒ•ã‚©ãƒ³,Venomoth,50.0,49,90,75,90,bug,poison,12.5,1,0,0.28258327686638596
49,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55,5120,71,265,255,Mole PokÃ©mon,30,1000000,,10,Digdaãƒ‡ã‚£ã‚°ãƒ€,Diglett,50.0,50,35,45,90,ground,ground,,1,0,0.28258327686638596
50,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,71,425,50,Mole PokÃ©mon,60,1000000,,35,Dugtrioãƒ€ã‚°ãƒˆãƒªã‚ª,Dugtrio,50.0,51,50,70,110,ground,ground,,1,0,0.28258327686638596
51,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,5120,71,290,255,Scratch Cat PokÃ©mon,35,1000000,,40,Nyarthãƒ‹ãƒ£ãƒ¼ã‚¹,Meowth,50.0,52,50,40,90,normal,dark,,1,0,0.28258327686638596
52,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,5120,71,440,90,Classy Cat PokÃ©mon,60,1000000,,65,Persianãƒšãƒ«ã‚·ã‚¢ãƒ³,Persian,50.0,53,75,65,115,normal,dark,,1,0,0.28258327686638596
53,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52,5120,71,320,190,Duck PokÃ©mon,48,1000000,0.8,50,Koduckã‚³ãƒ€ãƒƒã‚¯,Psyduck,50.0,54,65,50,55,water,,19.6,1,0,0.28258327686638596
54,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,5120,71,500,75,Duck PokÃ©mon,78,1000000,1.7,80,Golduckã‚´ãƒ«ãƒ€ãƒƒã‚¯,Golduck,50.0,55,95,80,85,water,,76.6,1,0,0.28258327686638596
55,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,71,305,190,Pig Monkey PokÃ©mon,35,1000000,0.5,40,Mankeyãƒžãƒ³ã‚­ãƒ¼,Mankey,50.0,56,35,45,70,fighting,,28.0,1,0,0.28258327686638596
56,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,5120,71,455,75,Pig Monkey PokÃ©mon,60,1000000,1.0,65,Okorizaruã‚ªã‚³ãƒªã‚¶ãƒ«,Primeape,50.0,57,60,70,95,fighting,,32.0,1,0,0.28258327686638596
57,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70,5120,71,350,190,Puppy PokÃ©mon,45,1250000,0.7,55,Gardieã‚¬ãƒ¼ãƒ‡ã‚£,Growlithe,75.4,58,70,50,60,fire,,19.0,1,0,0.28258327686638596
58,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,5120,71,555,75,Legendary PokÃ©mon,80,1250000,1.9,90,Windieã‚¦ã‚¤ãƒ³ãƒ‡ã‚£,Arcanine,75.4,59,100,80,95,fire,,155.0,1,0,0.28258327686638596
59,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,5120,71,300,255,Tadpole PokÃ©mon,40,1059860,0.6,40,Nyoromoãƒ‹ãƒ§ãƒ­ãƒ¢,Poliwag,50.0,60,40,40,90,water,,12.4,1,0,0.28258327686638596
60,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,71,385,120,Tadpole PokÃ©mon,65,1059860,1.0,65,Nyorozoãƒ‹ãƒ§ãƒ­ã‚¾,Poliwhirl,50.0,61,50,50,90,water,,20.0,1,0,0.28258327686638596
61,"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95,5120,71,510,45,Tadpole PokÃ©mon,95,1059860,1.3,90,Nyorobonãƒ‹ãƒ§ãƒ­ãƒœãƒ³,Poliwrath,50.0,62,70,90,70,water,fighting,54.0,1,0,0.28258327686638596
62,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20,5120,71,310,200,Psi PokÃ©mon,15,1059860,0.9,25,Caseyã‚±ãƒ¼ã‚·ã‚£,Abra,75.4,63,105,55,90,psychic,,19.5,1,0,0.28258327686638596
63,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35,5120,71,400,100,Psi PokÃ©mon,30,1059860,1.3,40,Yungererãƒ¦ãƒ³ã‚²ãƒ©ãƒ¼,Kadabra,75.4,64,120,70,105,psychic,,56.5,1,0,0.28258327686638596
64,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50,5120,71,600,50,Psi PokÃ©mon,65,1059860,1.5,55,Foodinãƒ•ãƒ¼ãƒ‡ã‚£ãƒ³,Alakazam,75.4,65,175,105,150,psychic,,48.0,1,0,0.28258327686638596
65,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,71,305,180,Superpower PokÃ©mon,50,1059860,0.8,70,Wanrikyãƒ¯ãƒ³ãƒªã‚­ãƒ¼,Machop,75.4,66,35,35,35,fighting,,19.5,1,0,0.28258327686638596
